CEEK/USD,["Gate.io"],CEEK VR,US Dollar
CELO/USD,["Binance",,
CELR/USD,["Binance",,
CEL/USD,["FTX",,
CENNZ/USD,["Synthetic"],Centrality,US Dollar
CET/USD,["CoinEx"],CoinEx Token,US Dollar
CFC/USD,["Synthetic"],CoffeeCoin,US Dollar
CFD/USD,["Synthetic"],Confido,US Dollar
CF/USD,["Synthetic"],Californium,US Dollar
CFX/USD,["Binance"],Conflux,US Dollar
CGLD/USD,["Coinbase Pro"],Celo,US Dollar
CHAT/USD,["ZB.COM"],ChatCoin,US Dollar
CHC/USD,["Synthetic"],ChainCoin,US Dollar
CHEAP/USD,["Synthetic"],Cheapcoin,US Dollar
CHESS/USD,["Synthetic"],ChessCoin,US Dollar
CHR/USD,["Binance",,
CHSB/USD,["Synthetic"],SwissBorg,US Dollar
CHZ/USD,["Binance",,
CIX100/USD,["Kucoin"],Cryptoindex.com 100,US Dollar
CJ/USD,["Synthetic"],Cryptojacks,US Dollar
CKB/USD,["Binance",,
CLAM/USD,["Synthetic"],Clams,US Dollar
CLOAK/USD,["Synthetic"],CloakCoin,US Dollar
CLO/USD,["Bitfinex",,
CLUB/USD,["Synthetic"],ClubCoin,US Dollar
CMCT/USD,["HitBTC"],Crowd Machine,US Dollar
CME/USD,["Synthetic"],Cashme,US Dollar
CMPCO/USD,["Synthetic"],CampusCoin,US Dollar
CMS/USD,["Synthetic"],COMSA [ETH],US Dollar
CMTA/USD,["Synthetic"],Comet,US Dollar
CMT/USD,["Synthetic"],CyberMiles,US Dollar
CND/USD,["HitBTC"],Cindicator,US Dollar
CNNC/USD,["Synthetic"],Cannation,US Dollar
CNO/USD,["Synthetic"],Coin(O),US Dollar
CNT/USD,["Synthetic"],Centurion,US Dollar
CNX/USD,["Cryptonex"],Cryptonex,US Dollar
COAL/USD,["Synthetic"],BitCoal,US Dollar
COB/USD,["Synthetic"],Cobinhood,US Dollar
COCOS/USD,["Binance"],Cocos-BCX,US Dollar
COFI/USD,["Gate.io"],CoinFi,US Dollar
COLX/USD,["Synthetic"],ColossusCoinXT,US Dollar
COMP/USD,["Binance",,
CON/USD,["Synthetic"],PayCon,US Dollar
CONX/USD,["Synthetic"],Concoin,US Dollar
CORE/USD,["Gate.io"],cVault.finance,US Dollar
CORG/USD,["Synthetic"],CorgiCoin,US Dollar
COR/USD,["Synthetic"],CORION,US Dollar
COS/USD,["Synthetic"],COS,US Dollar
COTI/USD,["Binance",,
COT/USD,["Synthetic"],CoTrader,US Dollar
COUPE/USD,["Synthetic"],Coupecoin,US Dollar
COVAL/USD,["Coinbase Pro",,
COV/USD,["Synthetic"],Covesting,US Dollar
CPCH/USD,["Synthetic"],CPChain,US Dollar
CPC/USD,["Livecoin"],Capricoin,US Dollar
CRAVE/USD,["Synthetic"],Crave,US Dollar
CRB/USD,["Synthetic"],Creditbit,US Dollar
CRCA/USD,["YoBit"],CryCash,US Dollar
CRDNC/USD,["Synthetic"],Credence Coin,US Dollar
CREDO/USD,["Synthetic"],Credo,US Dollar
CRED/USD,["Synthetic"],Verify,US Dollar
CREVA/USD,["Synthetic"],CrevaCoin,US Dollar
CRM/USD,["Synthetic"],Cream,US Dollar
CRO/USD,["Huobi",,
CRPT/USD,["HitBTC",,
CRTM/USD,["Synthetic"],Corethum,US Dollar
CRV/USD,["Binance",,
CRW/USD,["Synthetic"],Crown,US Dollar
CRX/USD,["Synthetic"],Chronos,US Dollar
CSNO/USD,["Synthetic"],BitDice,US Dollar
CSPR/USD,["Gate.io",,
CS/USD,["Synthetic"],Credits,US Dollar
CTIC2/USD,["Synthetic"],Coimatic 2.0,US Dollar
CTIC3/USD,["Synthetic"],Coimatic 3.0,US Dollar
CTSI/USD,["Binance"],Cartesi,US Dollar
CTXC/USD,["Binance",,
CTX/USD,["Synthetic"],CarTaxi Token,US Dollar
CURE/USD,["Synthetic"],Curecoin,US Dollar
CV2/USD,["Synthetic"],Colossuscoin V2,US Dollar
CVCoin/USD,["Kraken"],CVCoin,US Dollar
CVC/USD,["Binance",,
CVT/USD,["HitBTC",,
CV/USD,["Synthetic"],carVertical,US Dollar
CVX/USD,["Binance",,
CWXT/USD,["Synthetic"],CryptoWorldX Token,US Dollar
CXT/USD,["Synthetic"],Coinonat,US Dollar
CYC/USD,["Synthetic"],Cycling Coin,US Dollar
CYDER/USD,["Synthetic"],Cyder,US Dollar
DAG/USD,["Synthetic"],Constellation,US Dollar
DAI/USD,["Coinbase Pro",,
DALC/USD,["Synthetic"],Dalecoin,US Dollar
DARn/USD,["Binance"],Mines of Dalarnia,US Dollar
DASHG/USD,["Synthetic"],Dash Green,US Dollar
DASHS/USD,["Synthetic"],Dashs,US Dollar
DASH/USD,["Binance",,
DATA/USD,["Bitfinex",,
DAT/USD,["Synthetic"],Datum,US Dollar
DAV/USD,["Synthetic"],DavorCoin,US Dollar
DAX/USD,["Synthetic"],DAEX,US Dollar
DAY/USD,["Synthetic"],Chronologic,US Dollar
DBC/USD,["Gate.io"],DeepBrain Chain,US Dollar
DBG/USD,["Synthetic"],Digital Bullion Gold,US Dollar
DBIX/USD,["Synthetic"],DubaiCoin,US Dollar
DBTC/USD,["Synthetic"],Debitcoin,US Dollar
DCC/USD,["Synthetic"],Distributed Credit Chain,US Dollar
DCN/USD,["HitBTC"],Dentacoin,US Dollar
DCRE/USD,["Synthetic"],DeltaCredits,US Dollar
DCR/USD,["Binance",,
DCT/USD,["Synthetic"],DECENT,US Dollar
DCY/USD,["Synthetic"],Dinastycoin,US Dollar
DDD/USD,["Gate.io"],Scry.info,US Dollar
DDF/USD,["Synthetic"],DigitalDevelopersFund,US Dollar
DDK/USD,["ProBit Exchange"],DDKoin,US Dollar
DEEX/USD,["BTC-Alpha"],DEEX,US Dollar
DEM/USD,["Synthetic"],Deutsche eMark,US Dollar
DENT/USD,["Binance",,
DERO/USD,["Synthetic"],Dero,US Dollar
DES/USD,["Synthetic"],Destiny,US Dollar
DEUS/USD,["Synthetic"],DeusCoin,US Dollar
DFT/USD,["YoBit"],DraftCoin,US Dollar
DGB/USD,["Bittrex",,
DGCS/USD,["Synthetic"],Digital Credits,US Dollar
DGC/USD,["Synthetic"],Digitalcoin,US Dollar
DGD/USD,["Synthetic"],DigixDAO,US Dollar
DGTX/USD,["Synthetic"],Digitex Futures,US Dollar
DICE/USD,["Synthetic"],Etheroll,US Dollar
DIG/USD,["Livecoin"],Dignity,US Dollar
DIME/USD,["YoBit"],Dimecoin,US Dollar
DISK/USD,["Synthetic"],DarkLisk,US Dollar
DIVI/USD,["Synthetic"],Divi,US Dollar
DLC/USD,["Synthetic"],Dollarcoin,US Dollar
DLISK/USD,["Synthetic"],DAPPSTER,US Dollar
DLT/USD,["Synthetic"],Agrello,US Dollar
DMB/USD,["Synthetic"],Digital Money Bits,US Dollar
DMG/USD,["MXC",,
DMT/USD,["Synthetic"],DMarket,US Dollar
DNR/USD,["Synthetic"],Denarius,US Dollar
DNT/USD,["Synthetic"],district0x,US Dollar
DOCK/USD,["Binance",,
DOGE/USD,["Binance",,
DOLLAR/USD,["Synthetic"],Dollar Online,US Dollar
DOPE/USD,["Synthetic"],DopeCoin,US Dollar
DOVU/USD,["Synthetic"],Dovu,US Dollar
DP/USD,["Synthetic"],DigitalPrice,US Dollar
DPY/USD,["Gate.io"],Delphy,US Dollar
DREAM/USD,["Synthetic"],DreamTeam,US Dollar
DREP/USD,["Binance"],DREP,US Dollar
DRGN/USD,["Gate.io"],Dragonchain,US Dollar
DRG/USD,["Synthetic"],Dragon Coins,US Dollar
DRM/USD,["Synthetic"],Dreamcoin,US Dollar
DROP/USD,["Synthetic"],Dropil,US Dollar
DRP/USD,["Synthetic"],DCORP,US Dollar
DRS/USD,["Synthetic"],Digital Rupees,US Dollar
DRT/USD,["HitBTC",,
DRXNE/USD,["Synthetic"],DROXNE,US Dollar
DSR/USD,["Synthetic"],Desire,US Dollar
DTA/USD,["Huobi"],DATA,US Dollar
DTB/USD,["Synthetic"],Databits,US Dollar
DTEP/USD,["Synthetic"],DECOIN,US Dollar
DUB/USD,["Synthetic"],Dubstep,US Dollar
DUO/USD,["Synthetic"],ParallelCoin,US Dollar
DUSK/USD,["Binance",,
DUTCH/USD,["Synthetic"],Dutch Coin,US Dollar
DYDX/USD,["Binance",,
DYNMT/USD,["Hotbit"],Dynamite,US Dollar
DYN/USD,["Synthetic"],Dynamic,US Dollar
EAC/USD,["Synthetic"],EarthCoin,US Dollar
EAGLE/USD,["Synthetic"],EagleCoin,US Dollar
EBCH/USD,["Synthetic"],eBitcoinCash,US Dollar
EBET/USD,["Synthetic"],EthBet,US Dollar
EBST/USD,["Synthetic"],eBoost,US Dollar
EBTC/USD,["Synthetic"],eBitcoin,US Dollar
EBT/USD,["Synthetic"],Ebittree Coin,US Dollar
ECASH/USD,["Synthetic"],Ethereum Cash,US Dollar
ECA/USD,["Synthetic"],Electra,US Dollar
ECC/USD,["Synthetic"],ECC,US Dollar
ECN/USD,["Synthetic"],E-coin,US Dollar
ECOB/USD,["Synthetic"],Ecobit,US Dollar
ECO/USD,["Synthetic"],EcoCoin,US Dollar
ECTE/USD,["Synthetic"],EurocoinToken,US Dollar
EDC/USD,["Synthetic"],EDC Blockchain,US Dollar
EDG/USD,["HitBTC"],Edgeless,US Dollar
EDO/USD,["Bitfinex"],Eidoo,US Dollar
EDRC/USD,["Synthetic"],EDRCoin,US Dollar
EDRL/USD,["CoinTiger",,
EER/USD,["Synthetic"],Ethereum eRush,US Dollar
EFI/USD,["Gate.io"],Efinity Token,US Dollar
EGAS/USD,["Synthetic"],ETHGAS,US Dollar
EGCr/USD,["PancakeSwap"],EverGrow Coin,US Dollar
EGC/USD,["Synthetic"],EverGreenCoin,US Dollar
EGG/USD,["Synthetic"],EggCoin,US Dollar
EGLD/USD,["Binance",,
EGOLD/USD,["Synthetic"],eGold,US Dollar
EGO/USD,["Synthetic"],EGO,US Dollar
EGT/USD,["Huobi",,
EKT/USD,["Huobi",,
ELA/USD,["CoinEx",,
ELC/USD,["Synthetic"],Elacoin,US Dollar
ELEC/USD,["Gate.io",,
ELE/USD,["Synthetic"],Elementrem,US Dollar
ELF/USD,["Huobi",,
ELITE/USD,["Synthetic"],Ethereum Lite,US Dollar
ELIX/USD,["Synthetic"],Elixir,US Dollar
ELLA/USD,["Synthetic"],Ellaism,US Dollar
ELON/USD,["Gate.io",,
ELTC2/USD,["Synthetic"],eLTC,US Dollar
ELTCOIN/USD,["Synthetic"],ELTCOIN,US Dollar
EL/USD,["Livecoin"],Elcoin,US Dollar
ELYTE/USD,["Synthetic"],ETHEREUM LYTE,US Dollar
EMC2/USD,["Synthetic"],Einsteinium,US Dollar
EMD/USD,["Synthetic"],Emerald Crypto,US Dollar
Empire Warriors/USD,["Kraken"],EMoneyPower,US Dollar
EMV/USD,["Synthetic"],Ethereum Movie Venture,US Dollar
ENG/USD,["Synthetic"],Enigma,US Dollar
ENJ/USD,["Binance",,
ENRG/USD,["Synthetic"],Energycoin,US Dollar
ENT/USD,["Synthetic"],Eternity,US Dollar
EOSDAC/USD,["Gate.io",,
EOS/USD,["Binance",,
EPS/USD,["Binance"],Ellipsis,US Dollar
EPX/USD,["Binance"],Ellipsis X,US Dollar
EPY/USD,["Synthetic"],Emphy,US Dollar
ERC20/USD,["Synthetic"],ERC20,US Dollar
ERC/USD,["Synthetic"],EuropeCoin,US Dollar
ERG/USD,["Gate.io",,
ERY/USD,["Synthetic"],Eryllium,US Dollar
ESP/USD,["Synthetic"],Espers,US Dollar
ESS/USD,["Synthetic"],Essentia,US Dollar
ETA/USD,["Synthetic"],Etheera,US Dollar
ETBS/USD,["Synthetic"],Ethbits,US Dollar
ETC/USD,["Binance",,
ETHD/USD,["Synthetic"],Ethereum Dark,US Dollar
ETHM/USD,["Synthetic"],Ethereum Meta,US Dollar
ETH/USD,["Binance",,
ETN/USD,["HitBTC"],Electroneum,US Dollar
ETP/USD,["Bitfinex",,
ETT/USD,["Synthetic"],EncryptoTel [WAVES],US Dollar
EUC/USD,["Synthetic"],Eurocoin,US Dollar
EURS/USD,["Ethfinex",,
EUSD/USD,["Synthetic"],eUSD,US Dollar
EVC/USD,["Synthetic"],EventChain,US Dollar
EVIL/USD,["Synthetic"],Evil Coin,US Dollar
EVNN/USD,["Synthetic"],EvenCoin,US Dollar
EVO/USD,["Synthetic"],Evotion,US Dollar
EVX/USD,["HitBTC"],Everex,US Dollar
EWT/USD,["Kraken",,
EXCL/USD,["Synthetic"],ExclusiveCoin,US Dollar
EXC/USD,["Synthetic"],Eximchain,US Dollar
EXMR/USD,["Synthetic"],EXMR,US Dollar
EXN/USD,["Synthetic"],ExchangeN,US Dollar
EXP/USD,["Synthetic"],Expanse,US Dollar
